location,campus,date,day_of_week,meal_period,category,item
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,ENTREES,SAUTEED ZUCCHINI WITH GARLIC
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,ENTREES,SHRIMP TOSSED WITH OLIVE OIL AND HERB MEDLEY
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,ENTREES,STEWED WHITE BEANS & SPINACH WITH BASIL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB,GRILLED HOT DOGS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB,HAMBURGER POTATO BUN
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB,POTATO HOT DOG ROLL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB,PUB BURGER
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB,TURKEY BURGERS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB,VEGETABLE BURGER
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,CHEESE SAUCE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,FRENCH FRIES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,LETTUCE LEAVES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,MONTREAL STEAK SEASONING
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,PICKLE CHIPS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,SLICED CHEDDAR CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,SLICED MUSHROOMS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,SLICED ONIONS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,SLICED PEPPERJACK CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,SLICED PROVOLONE CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,SLICED TOMATOES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,PUB SIDES,YELLOW AMERICAN CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,ASIAN INSPIRED CUISINE,BAKED BROWN RICE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,ASIAN INSPIRED CUISINE,MONGOLIAN SIDES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Dinner,ASIAN INSPIRED CUISINE,STIR FRY NOODLES & VEGGIES
