name,location,date_time,link
Walk-a-Thon,Buccleuch Park,"Sunday, October 12 at 12:00PM EDT",https://rutgers.campuslabs.com/engage/event/11721201
MAR Onam,Livingston Multi Purpose Room,"Sunday, October 12 at 12:00PM EDT",https://rutgers.campuslabs.com/engage/event/11417186
Rainbow Symphony Dress Rehearsal,Nicholas Music Center,"Sunday, October 12 at 3:00PM EDT",https://rutgers.campuslabs.com/engage/event/11403515
Pumpkin Picking with QUAC,The Canterbury House,"Sunday, October 12 at 4:15PM EDT",https://rutgers.campuslabs.com/engage/event/11631372
Roll & Rally for Medicaid,Buccleuch Park,"Sunday, October 12 at 4:30PM EDT",https://rutgers.campuslabs.com/engage/event/11693964
RDELLC Trick or Trivia,Morrow Suites (First Floor Lounge),"Sunday, October 12 at 6:00PM EDT",https://rutgers.campuslabs.com/engage/event/11740485
Candidate Meeting 4,Campbell Hall,"Sunday, October 12 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11674826
Chapter 6,Campbell Hall A4,"Sunday, October 12 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11721202
Verse One - PRACTICE!,Lucy Stone,"Sunday, October 12 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11674690
Financing Study Abroad Workshop - How Do I Pay for It?,Online,"Monday, October 13 at 11:30AM EDT",https://rutgers.campuslabs.com/engage/event/11419652
Crafter Noon - Emotional Support Felt Plants,"Lucy Stone Hall, Suite A145, 1st Floor Lobby","Monday, October 13 at 12:30PM EDT",https://rutgers.campuslabs.com/engage/event/11663516
Life With Down Syndrome Discussion Panel,RU Center for Adult Autism Services,"Monday, October 13 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11694566
Steel Bridge Design Meetings,BME 128,"Monday, October 13 at 5:30PM EDT",https://rutgers.campuslabs.com/engage/event/11681337
Empowered Employment: Disability Rights & Opportunities,Online,"Monday, October 13 at 6:00PM EDT",https://rutgers.campuslabs.com/engage/event/11717362
RU Autonomous - Airdrop Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Monday, October 13 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11667475
The People's Project,RDJC Building,"Monday, October 13 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11648766
RU Autonomous - Imaging Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Monday, October 13 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11667457
RU Autonomous - Hardware Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Monday, October 13 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11659663
RU Autonomous - Autopilot Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Monday, October 13 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11667439
Youth Empowerment Club General Meeting!,College Ave Student Center - Room 109,"Monday, October 13 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11612714
