location,date,day_of_week,meal_period,category,item
Neilson Dining Hall,2025-10-04,Saturday,Dinner,STARCH &  POTATOES,SPAGHETTI PASTA
Neilson Dining Hall,2025-10-04,Saturday,Dinner,VEGETABLES,BROCCOLI FLORETS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,BANANAS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,CANTALOUPE MELON
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,GOLDEN PINEAPPLE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,GRANNY SMITH APPLES
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,GREEN SEEDLESS GRAPES
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,HONEYDEW MELON
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,RED DELICIOUS APPLES
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,RED SEEDLESS  GRAPES
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,STRAWBERRIES
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,WATERMELON
Neilson Dining Hall,2025-10-04,Saturday,Dinner,FRUIT,WHOLE ORANGES
Neilson Dining Hall,2025-10-04,Saturday,Dinner,BREADS,ENGLISH MUFFIN
Neilson Dining Hall,2025-10-04,Saturday,Dinner,BREADS,MEDIUM KAISER ROLL
Neilson Dining Hall,2025-10-04,Saturday,Dinner,BREADS,PITA BREAD
Neilson Dining Hall,2025-10-04,Saturday,Dinner,BREADS,SLICED RYE BREAD
Neilson Dining Hall,2025-10-04,Saturday,Dinner,BREADS,SLICED WHITE BREAD
Neilson Dining Hall,2025-10-04,Saturday,Dinner,BREADS,SLICED WHOLE WHEAT BREAD
Neilson Dining Hall,2025-10-04,Saturday,Dinner,BREADS,VARIETY WRAPS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,COOK TO ORDER BAR,FUNNEL CAKE PREMADE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,ASIAN INSPIRED CUISINE,HAWAIIAN SHRIMP FOR SAUTE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,ASIAN INSPIRED CUISINE,STEAMED WHITE RICE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,ASIAN INSPIRED CUISINE,TENDER COOKED BABY CARROTS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,ASIAN INSPIRED CUISINE,TERIYAKI GLAZED TOFU VEGETABLE STIR FRY
Neilson Dining Hall,2025-10-04,Saturday,Dinner,ASIAN INSPIRED CUISINE,THAI RED CURRY CHICKEN
Neilson Dining Hall,2025-10-04,Saturday,Dinner,ASIAN INSPIRED CUISINE,VEGETABLE FRIED RICE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,PIZZA & PASTA,CHEESE PIZZA
Neilson Dining Hall,2025-10-04,Saturday,Dinner,PIZZA & PASTA,CHEESE STUFFED RIGATONI
Neilson Dining Hall,2025-10-04,Saturday,Dinner,PIZZA & PASTA,FUSILLI PASTA
Neilson Dining Hall,2025-10-04,Saturday,Dinner,PIZZA & PASTA,PEPPERONI PIZZA
Neilson Dining Hall,2025-10-04,Saturday,Dinner,PIZZA & PASTA,PLAIN TOMATO SAUCE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,PIZZA & PASTA,VODKA SAUCE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,VEGETARIAN,BABY BOK CHOY WITH SWEET CHILI SAUCE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,VEGETARIAN,BAKED BROWN RICE
Neilson Dining Hall,2025-10-04,Saturday,Dinner,VEGETARIAN,FINGERLING POTATOS WITH ROASTED MUSHROOMS
Neilson Dining Hall,2025-10-04,Saturday,Dinner,VEGETARIAN,SWEET & SPICY MONGOLIAN SEITAN
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,BAGELS,CINNAMAON RAISIN BAGELS
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,BAGELS,EGG BAGEL
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,BAGELS,EVERYTHING BAGEL
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,BAGELS,GARLIC BAGEL
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,BAGELS,JALAPENO BAGEL
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,BAGELS,ONION BAGEL
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,BAGELS,PLAIN BAGELS
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,BAGELS,SESAME BAGEL
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,BAGELS,WHOLE WHEAT BAGEL
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,YOGURT BAR,COTTAGE CHEESE
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,YOGURT BAR,CRAISINS
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,YOGURT BAR,GRANOLA OATS & HONEY
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,YOGURT BAR,PLAIN GREEK CHOBANI YOGURT
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,YOGURT BAR,RAISINS
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,YOGURT BAR,VANILLA YOGURT
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,DELI BAR ENTREE,BOILED HAM
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,DELI BAR ENTREE,SLICED PROVOLONE CHEESE
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,DELI BAR ENTREE,TUNA SALAD
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,DELI BAR ENTREE,TURKEY BREAST
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,DELI BAR ENTREE,YELLOW AMERICAN CHEESE
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,FRUIT,BANANAS
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,FRUIT,CANTALOUPE MELON
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,FRUIT,GOLDEN PINEAPPLE
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,FRUIT,GRANNY SMITH APPLES
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,FRUIT,GREEN SEEDLESS GRAPES
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,FRUIT,HONEYDEW MELON
Neilson Dining Hall,2025-10-05,Sunday,Breakfast,FRUIT,RED DELICIOUS APPLES
