location,campus,date,day_of_week,meal_period,category,item
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,PENNE  PASTA
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,PESTO
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,PINK PASTA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,PORK SAUSAGE CRUMBLES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,RED ONION
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,SHREDDED MOZZARELLA CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,SHRIMP
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,WHOLE WHEAT PENNE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,ENTREES,BUILD YOUR OWN OMELET
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,ALFREDO SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,BABY SPINACH
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,BROCCOLI
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,CANOLA OIL
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,CHOPPED GARLIC
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,DICED TOFU
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,FRESH CHICKEN STRIPS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,MARINARA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,OLIVE AND CANOLA OIL BLEND
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,PARMESAN CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,PENNE  PASTA
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,PESTO
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,PINK PASTA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,PORK SAUSAGE CRUMBLES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,RED ONION
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,SHREDDED MOZZARELLA CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,SHRIMP
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,WHOLE WHEAT PENNE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,COOK TO ORDER BAR,BUILD YOUR OWN OMELET
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,ALFREDO SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,BABY SPINACH
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,BROCCOLI
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,CANOLA OIL
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,CHOPPED GARLIC
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,DICED TOFU
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,FRESH CHICKEN STRIPS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,MARINARA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,OLIVE AND CANOLA OIL BLEND
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,PARMESAN CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,PENNE  PASTA
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,PESTO
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,PINK PASTA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,PORK SAUSAGE CRUMBLES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,RED ONION
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,SHREDDED MOZZARELLA CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,SHRIMP
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,WHOLE WHEAT PENNE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PIZZA & PASTA,BUILD YOUR OWN OMELET
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,ALFREDO SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,BABY SPINACH
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,BROCCOLI
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,CANOLA OIL
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,CHOPPED GARLIC
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,DICED TOFU
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,FRESH CHICKEN STRIPS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,MARINARA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,OLIVE AND CANOLA OIL BLEND
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,PARMESAN CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,PENNE  PASTA
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,PESTO
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,PINK PASTA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,PORK SAUSAGE CRUMBLES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,RED ONION
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,SHREDDED MOZZARELLA CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,SHRIMP
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,WHOLE WHEAT PENNE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,VEGETARIAN,BUILD YOUR OWN OMELET
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,ALFREDO SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,BABY SPINACH
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,BROCCOLI
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,CANOLA OIL
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,CHOPPED GARLIC
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,DICED TOFU
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,FRESH CHICKEN STRIPS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,MARINARA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,OLIVE AND CANOLA OIL BLEND
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,PARMESAN CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,PENNE  PASTA
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,PESTO
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,PINK PASTA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,PORK SAUSAGE CRUMBLES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,RED ONION
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,SHREDDED MOZZARELLA CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,SHRIMP
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,WHOLE WHEAT PENNE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,PASTA STATION,BUILD YOUR OWN OMELET
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,ALFREDO SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,BABY SPINACH
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,BROCCOLI
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,CANOLA OIL
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,CHOPPED GARLIC
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,DICED TOFU
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,FRESH CHICKEN STRIPS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,MARINARA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,OLIVE AND CANOLA OIL BLEND
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,PARMESAN CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,PENNE  PASTA
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,PESTO
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,PINK PASTA SAUCE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,PORK SAUSAGE CRUMBLES
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,RED ONION
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,SHREDDED MOZZARELLA CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,SHRIMP
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,SLICED MUSHROOMS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,WHOLE WHEAT PENNE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,CTO MASTER,BUILD YOUR OWN OMELET
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,YOGURT BAR,PLAIN GREEK CHOBANI YOGURT
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,YOGURT BAR,STRAWBERRY YOGURT
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,YOGURT BAR,VANILLA YOGURT
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,YOGURT BAR,COTTAGE CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,YOGURT BAR,GRANOLA OATS & HONEY
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,YOGURT BAR,CRAISINS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,YOGURT BAR,RAISINS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,YOGURT BAR,PUMPKIN SEEDS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,YOGURT BAR,SUNFLOWER SEEDS
Busch Dining Hall,Busch,2025-10-04,Saturday,Lunch,SALAD BAR,SPRING MIX GREENS
